Date,Total_employees,Total_students,Positive_employees,Positive_students
2022-01-03,235,240,14,39
2022-01-04,413,626,44,135
2022-01-05,406,530,42,118
2022-01-06,376,602,49,121
2022-01-07,380,597,52,109
2022-01-08,0,0,0,0
2022-01-09,0,0,0,0
2022-01-10,176,291,19,55
2022-01-11,416,609,51,121
2022-01-12,365,530,41,113
2022-01-13,325,463,25,70
2022-01-14,311,574,15,72
2022-01-15,0,0,0,0
2022-01-16,0,0,0,0
2022-01-17,0,0,0,0
2022-01-18,197,339,15,39
2022-01-19,330,594,25,77
2022-01-20,302,598,26,49
2022-01-21,299,539,13,46
2022-01-22,0,0,0,0
2022-01-23,0,0,0,0
2022-01-24,109,352,11,16
2022-01-25,223,774,19,50
2022-01-26,198,654,12,53
2022-01-27,194,603,6,52
2022-01-28,192,662,9,39
2022-01-29,0,0,0,0
2022-01-30,0,0,0,0
2022-01-31,110,363,7,54
2022-02-01,167,669,6,98
2022-02-02,154,657,6,70
2022-02-03,130,668,6,77
2022-02-04,166,683,6,64
2022-02-05,0,0,0,0
2022-02-06,0,0,0,0
2022-02-07,106,364,5,46
2022-02-08,128,611,2,58
2022-02-09,129,568,4,50
2022-02-10,110,580,1,65
2022-02-11,152,718,6,49
2022-02-12,0,0,0,0
2022-02-13,0,0,0,0
2022-02-14,71,235,1,11
2022-02-15,127,399,1,19
2022-02-16,88,465,0,26
2022-02-17,134,417,0,20
2022-02-18,106,440,0,21
2022-02-19,0,0,0,0
2022-02-20,0,0,0,0
2022-02-21,70,223,1,8
2022-02-22,82,329,0,10
2022-02-23,102,290,1,13
2022-02-24,80,408,2,8
2022-02-25,95,400,1,7
2022-02-26,0,0,0,0
2022-02-27,0,0,0,0
2022-02-28,49,197,2,1
2022-03-01,104,331,0,6
2022-03-02,84,325,0,2
2022-03-03,88,292,1,5
2022-03-04,94,384,0,2
2022-03-05,0,0,0,0
2022-03-06,0,0,0,0
2022-03-07,42,164,0,4
2022-03-08,112,367,1,4
2022-03-09,82,413,1,9
2022-03-10,95,510,4,6
2022-03-11,119,520,1,5
2022-03-12,0,0,0,0
2022-03-13,0,0,0,0
2022-03-14,56,44,1,3
2022-03-15,97,60,3,1
2022-03-16,90,50,2,0
2022-03-17,63,54,0,1
2022-03-18,87,54,0,1
2022-03-19,1,9,0,8
2022-03-20,0,0,0,0
