Date,Total_employees,Total_students,Positive_employees,Positive_students
2021-08-01,0,0,0,0
2021-08-02,67,108,2,7
2021-08-03,96,170,1,6
2021-08-04,119,173,1,6
2021-08-05,97,220,1,11
2021-08-06,49,116,2,4
2021-08-07,0,0,0,0
2021-08-08,0,0,0,0
2021-08-09,83,117,2,3
2021-08-10,94,181,4,7
2021-08-11,84,144,1,3
2021-08-12,94,122,0,5
2021-08-13,94,121,1,2
2021-08-14,0,0,0,0
2021-08-15,0,0,0,0
2021-08-16,66,135,0,2
2021-08-17,104,175,2,6
2021-08-18,86,148,4,3
2021-08-19,95,151,2,6
2021-08-20,80,171,2,0
2021-08-21,0,0,0,0
2021-08-22,0,0,0,0
2021-08-23,83,149,0,4
2021-08-24,109,229,0,3
2021-08-25,39,90,0,1
2021-08-26,103,184,0,5
2021-08-27,128,265,0,6
2021-08-28,0,0,0,0
2021-08-29,22,39,0,1
2021-08-30,54,291,1,4
2021-08-31,184,644,3,12
2021-09-01,166,705,4,7
2021-09-02,153,907,2,10
2021-09-03,193,975,0,12
2021-09-04,81,218,2,0
2021-09-05,2,5,0,0
2021-09-06,0,10,0,0
2021-09-07,121,471,1,11
2021-09-08,137,1163,1,22
2021-09-09,153,1190,4,37
2021-09-10,150,1165,4,43
2021-09-11,136,249,2,7
2021-09-12,75,198,0,3
2021-09-13,45,544,1,24
2021-09-14,201,1285,2,52
2021-09-15,226,1317,4,60
2021-09-16,155,1243,2,65
2021-09-17,302,1555,2,54
2021-09-18,81,241,1,3
2021-09-19,0,0,0,0
2021-09-20,69,578,1,18
2021-09-21,226,1403,3,24
2021-09-22,241,1204,2,18
2021-09-23,262,1168,4,18
2021-09-24,234,1088,3,15
2021-09-25,75,217,1,1
2021-09-26,6,9,0,0
2021-09-27,68,491,1,11
2021-09-28,185,809,4,11
